Timestep,Time [s],Drive_Pos [x(t)],Drive_Vel [vx(t)],Drive_Acc [ax(t)],Mass_Pos [p(t)],Mass_Vel [v(t)],Mass_Acc [a(t)]
0,0.0,0.0,1.137322353008391,-1.1958699555341905,-1.981,0.0,0.0
1,0.1,0.10790995599898734,1.0208767669713559,-1.1330417652065106,-1.981,0.0,1.079099559989876
2,0.2,0.20417535339427118,0.9107139999670888,-1.0421893733418868,-1.9702090044001013,0.10790995599898762,1.8259336219447384
3,0.30000000000000004,0.2900527559924051,0.8124388923029785,-0.9297267639219564,-1.941158672580755,0.2905033181934615,2.211610967538139
4,0.4,0.3666631318548669,0.7247686471826975,-0.8293999897360516,-1.8899922310860275,0.5116644149472753,2.2448892144616703
5,0.5,0.4350064854289446,0.6465588943557682,-0.7398994733380709,-1.8163768974466834,0.7361533363934424,1.9676804923628346
6,0.6000000000000001,0.4959749107260205,0.5767887525150833,-0.6600569537264983,-1.7230847588837108,0.9329213856297258,1.4476753104675861
7,0.7000000000000001,0.5503642359319613,0.5145475036104685,-0.5888302368930454,-1.6153158672160624,1.0776889166764845,0.7691121148037503
8,0.8,0.5988844114481142,0.45902270513647425,-0.5252895919390321,-1.4998558544003764,1.1546001281568594,0.0228025303280468
9,0.9,0.6421687769592561,0.4094895852226621,-0.4686056151861656,-1.38416781628141,1.1568803811896642,-0.7035144487830038
10,1.0,0.6807823284926466,0.36530158209924113,-0.418038403870552,-1.2755149226502736,1.0865289363113637,-1.333556424882163
11,1.1,0.7152290933791043,0.3258819044485517,-0.3729278981029954,-1.180197593267959,0.9531732938231474,-1.8089064273525146
12,1.2000000000000002,0.745958709382357,0.29071600247864204,-0.3326852650279072,-1.1029693281591693,0.772282651087896,-2.0930022756726343
13,1.3,0.7733722938748328,0.25934485144297026,-0.2967852127172349,-1.046671085807106,0.5629824235206325,-2.1725486267012437
14,1.4000000000000001,0.797827679670951,0.23135895993519506,-0.2647591334717675,-1.0120983297220552,0.34572756085050815,-2.056467466920446
15,1.5,0.8196440858618718,0.20639302474861676,-0.23618898702849334,-0.9980902483062088,0.14008081415846355,-1.77273747247766
16,1.6,0.8391062846206744,0.1841211625294964,-0.21070184383080726,-1.0018095416151391,-0.037192933089302466,-1.3636488045525645
17,1.7000000000000002,0.856468318367771,0.1642526559824553,-0.18796501713412295,-1.019165322969595,-0.17355781354455893,-0.8801057730817821
18,1.8,0.8719568158171654,0.1465281591026718,-0.16768172040582674,-1.0453221620548687,-0.26156839085273714,-0.37564183042692356
19,1.9000000000000001,0.8857739501883054,0.13071631190128996,-0.14958719333499904,-1.0752354194444116,-0.2991325738954295,0.09922627022259967
20,2.0,0.8981000781974234,0.116610720435672,-0.13344524588420892,-1.1041564141317286,-0.28920994687316953,0.5017748701646916
21,2.1,0.9090960942754398,0.10402726272444818,-0.11904517527257241,-1.1280596601173987,-0.23903245985670038,0.8005900037850822
22,2.2,0.9189055307423131,0.09280168538115752,-0.10619901564701273,-1.1439570060652178,-0.15897345947819216,0.9775988275534999
23,2.3000000000000003,0.9276564313516713,0.08278745959504563,-0.09473908454140645,-1.150078363737502,-0.06121357672284217,1.0285615276145776
24,2.4000000000000004,0.9354630226613222,0.07385386847287623,-0.08451579409716192,-1.1459141061336404,0.0416425760386156,0.9621287119110082
25,2.5,0.9424272050462466,0.06588430077561325,-0.07539569847491712,-1.1321285614106689,0.13785544722971643,0.7977022173394381
26,2.6,0.9486398828164448,0.058774728777892804,-0.06725975196997802,-1.1103659945143027,0.21762566896366026,0.5624331043438158
27,2.7,0.9541821508018251,0.05243235038161764,-0.06000175509439376,-1.0829790965744985,0.27386897939804183,0.2877434943651931
28,2.8000000000000003,0.9591263528927684,0.04677437775901405,-0.053526968342293424,-1.0527147636910423,0.30264332883456113,0.005767837003544329
29,2.9000000000000004,0.9635370263536279,0.04172695671315896,-0.04775087554372004,-1.0223927524375507,0.30322011253491554,-0.25392232462312947
30,3.0,0.9674717442354002,0.037224202650270044,-0.04259808066488513,-0.9946099644302904,0.2778278800726026,-0.46701079341569773
31,3.1,0.9709818668836819,0.03320734058018193,-0.03800132365469333,-0.9714972843571871,0.23112680073103284,-0.6163352883223432
32,3.2,0.9741132123514366,0.029623937919331378,-0.03390060249121307,-0.9545479571673072,0.1694932718987985,-0.6928815767113594
33,3.3000000000000003,0.9769066544675482,0.026427220081939318,-0.030242389968049288,-0.944527445744541,0.10020511422766257,-0.6958641121067721
34,3.4000000000000004,0.9793986563678244,0.02357545992572152,-0.026978934997290427,-0.9414655754428424,0.030618703016985355,-0.6319763849103186
35,3.5,0.9816217464526925,0.021031433082481232,-0.024067639308830713,-0.9447234689902471,-0.032578935474046514,-0.5139689100965601
36,3.6,0.9836049429843207,0.018761932063955378,-0.021470501410017495,-0.9531210516386173,-0.08397582648370253,-0.3587642272869189
37,3.7,0.9853741328654836,0.016737332800477733,-0.019153620547587846,-0.9651062765598567,-0.11985224921239443,-0.1853436565342026
38,3.8000000000000003,0.9869524095444162,0.014931207954437808,-0.017086754197073728,-0.9789449380464381,-0.1383866148658147,-0.012639909225644175
39,3.9000000000000004,0.9883603744563711,0.013319981961062988,-0.015242923303504519,-0.9929099986252761,-0.1396506057883791,0.14235433660485164
40,4.0,0.9896164059366288,0.011882623293736905,-0.013598060120528777,-1.0054515158380655,-0.12541517212789394,0.26609438987483713
41,4.1000000000000005,0.9907368991151185,0.010600369936957232,-0.012130694051248891,-1.0153320891521065,-0.09880573314041022,0.34949561581266053
42,4.2,0.9917364799240203,0.009456484483487126,-0.010821671389940613,-1.021717706308021,-0.06385617155914416,0.3883980338795556
43,4.3,0.992628196011816,0.00843603565896911,-0.009653905306417077,-1.0242193431251398,-0.025016368171188602,0.3834917595407461
44,4.4,0.9934236870558141,0.007525703422203711,-0.00861215280958394,-1.0228860623468512,0.013332807782886008,0.3397646862437682
45,4.5,0.9941333366962567,0.006713605097052322,-0.0076828157788422224,-1.0181551347061248,0.04730927640726283,0.2655754376165511
46,4.6000000000000005,0.9947664080752245,0.005989140266435267,-0.006853763466199703,-1.010768452689233,0.07386682016891795,0.17148178747565979
47,4.7,0.9953311647495438,0.0053428524038123815,-0.006114174152138663,-1.0016669527975848,0.09101499891648393,0.06896617655480242
48,4.800000000000001,0.995834978555987,0.004766305436007534,-0.0054543938884099585,-0.9918757911403884,0.09791161657196418,-0.030803919608210606
49,4.9,0.9962844258367453,0.00425197362613039,-0.004865810483908883,-0.9823926686792741,0.09483122461114311,-0.1180602794509511
50,5.0,0.9966853732812131,0.0037931433392257574,-0.00434074108869309,-0.9740901490126693,0.083025196666048,-0.1852699737272232
51,5.1000000000000005,0.9970430545045904,0.003383825408391772,-0.00387233190880798,-0.9676403290833367,0.06449819929332568,-0.22766436341405516
52,5.2,0.9973621383628914,0.0030186769574641614,-0.00345446874291111,-0.9634671527881448,0.04173176295192016,-0.2434388514415602
53,5.300000000000001,0.9976467898960832,0.00269293165980955,-0.0030816971728658826,-0.9617283650073684,0.01738787780776414,-0.23363632877324925
