step,x(t+1),p(t+1)
1,3.301112174987793,0.6397669911384583
2,12.896915435791016,1.6674818992614746
3,13.665939331054688,2.669327735900879
4,13.174809455871582,3.5218758583068848
5,14.867349624633789,4.458423137664795
6,14.012415885925293,5.215822219848633
7,13.21194839477539,5.817434787750244
8,11.968047142028809,6.234496116638184
9,11.618949890136719,6.574941635131836
10,11.40526008605957,6.859973430633545
11,11.14595890045166,7.090571880340576
12,10.580209732055664,7.241535663604736
13,9.21584415435791,7.240966320037842
14,7.177742004394531,7.036643981933594
15,5.260797500610352,6.661059379577637
16,4.030386447906494,6.1999921798706055
17,-2.2740511894226074,5.154587745666504
18,-13.59691333770752,3.081437349319458
19,-15.171809196472168,1.058112621307373
20,-15.155068397521973,-0.7612055540084839
21,-14.697593688964844,-2.352844476699829
22,-12.941163063049316,-3.6096763610839844
23,-13.637730598449707,-4.810482025146484
24,-12.483139038085938,-5.775747776031494
25,-10.72915267944336,-6.469088554382324
26,-10.399284362792969,-7.060108184814453
27,-9.512001991271973,-7.503297805786133
28,-5.427194595336914,-7.493687629699707
29,0.6641874313354492,-6.8759002685546875
30,14.083491325378418,-4.97796106338501
31,15.995022773742676,-3.078662395477295
32,15.976364135742188,-1.3711597919464111
33,15.941186904907227,0.16207492351531982
34,15.460394859313965,1.4939069747924805
35,13.694604873657227,2.515976905822754
36,13.147680282592773,3.3811471462249756
37,14.530281066894531,4.298060417175293
38,14.259361267089844,5.096190452575684
39,13.313179969787598,5.7198896408081055
40,12.138839721679688,6.163784503936768
41,11.654741287231445,6.514880180358887
42,11.447559356689453,6.810148239135742
43,11.205615043640137,7.051694869995117
44,10.736844062805176,7.222209930419922
45,9.511285781860352,7.253117561340332
46,7.860673904418945,7.115873336791992
47,5.351690292358398,6.741455078125
48,4.064959526062012,6.275805473327637
49,-2.4025745391845703,5.209967613220215
50,-13.611885070800781,3.12978196144104
