Timestep,Time [s],Drive_Pos [x(t)],Drive_Vel [vx(t)],Drive_Acc [ax(t)],Mass_Pos [p(t)],Mass_Vel [v(t)],Mass_Acc [a(t)]
0,0.0,0.0,0.03333333333333333,-5.551115123125783e-17,-1.981,0.0,0.0
1,0.1,0.0033333333333333335,0.03333333333333333,3.469446951953614e-17,-1.981,0.0,0.03333333333333499
2,0.2,0.006666666666666667,0.03333333333333334,0.0,-1.9806666666666668,0.003333333333333499,0.0600000000000005
3,0.30000000000000004,0.010000000000000002,0.03333333333333333,-1.0408340855860843e-16,-1.9797333333333333,0.00933333333333355,0.0779999999999994
4,0.4,0.013333333333333334,0.03333333333333332,6.938893903907228e-17,-1.97802,0.01713333333333349,0.08639999999999937
5,0.5,0.016666666666666666,0.03333333333333335,1.0408340855860843e-16,-1.9754426666666665,0.025773333333333426,0.08531999999999762
6,0.6000000000000001,0.020000000000000004,0.03333333333333334,-1.3877787807814457e-16,-1.9720121333333331,0.03430533333333319,0.07581599999999789
7,0.7000000000000001,0.023333333333333334,0.03333333333333332,0.0,-1.9678234399999999,0.041886933333332974,0.059680800000000644
8,0.8,0.02666666666666667,0.03333333333333334,0.0,-1.9630379386666665,0.04785501333333304,0.03919103999999862
9,0.9,0.030000000000000002,0.03333333333333332,-1.0408340855860843e-16,-1.9578605269333333,0.0517741173333329,0.016831152000001737
10,1.0,0.03333333333333333,0.03333333333333332,2.7755575615628914e-16,-1.95251480368,0.05345723253333307,-0.004975862400000253
11,1.1,0.03666666666666667,0.033333333333333375,1.0408340855860843e-16,-1.9472188390506666,0.052959646293333044,-0.02410458912000024
12,1.2000000000000002,0.04000000000000001,0.03333333333333334,-3.469446951953614e-16,-1.9421639203125334,0.05054918738133302,-0.038909984255999674
13,1.3,0.043333333333333335,0.033333333333333305,0.0,-1.93749810141696,0.04665818895573306,-0.048343841452801684
14,1.4000000000000001,0.04666666666666667,0.03333333333333334,1.734723475976807e-16,-1.9333157209359149,0.04182380481045289,-0.051999928784637106
15,1.5,0.05,0.03333333333333334,0.0,-1.929653339742716,0.03662381193198918,-0.05009041450482776
16,1.6,0.05333333333333334,0.03333333333333334,0.0,-1.9264918626945653,0.031614770481506405,-0.043362810202522084
17,1.7000000000000002,0.05666666666666667,0.03333333333333334,0.0,-1.92376401374844,0.027278489461254198,-0.0329716853101889
18,1.8,0.060000000000000005,0.03333333333333334,-1.734723475976807e-16,-1.9213658816554164,0.023981320930235306,-0.020322504376069972
19,1.9000000000000001,0.06333333333333334,0.033333333333333305,0.0,-1.9191709746061536,0.021949070492628307,-0.0069059910977600225
20,2.0,0.06666666666666667,0.03333333333333334,1.734723475976807e-16,-1.9170451274678684,0.021258471382852306,0.005859469962498309
21,2.1,0.07,0.03333333333333334,0.0,-1.9148606856299581,0.021844418379102136,0.016762437920480266
22,2.2,0.07333333333333333,0.03333333333333334,3.469446951953614e-16,-1.9125086194128431,0.02352066217115016,0.024898865290612804
23,2.3000000000000003,0.07666666666666667,0.03333333333333341,-3.469446951953614e-16,-1.909907564542822,0.026010548700211442,0.029731763394675426
24,2.4000000000000004,0.08000000000000002,0.03333333333333327,-6.938893903907228e-16,-1.907009192038854,0.028983725039678984,0.031108195348863887
25,2.5,0.08333333333333333,0.03333333333333327,6.938893903907228e-16,-1.9037997375813975,0.03209454457456537,0.02923616457274214
26,2.6,0.08666666666666667,0.03333333333333341,3.469446951953614e-16,-1.9002979214782136,0.035018161031839586,0.02462772041696404
27,2.7,0.09000000000000001,0.03333333333333334,-3.469446951953614e-16,-1.89654982817086,0.03748093307353599,0.018017348635064323
28,2.8000000000000003,0.09333333333333334,0.03333333333333334,0.0,-1.8926215613771558,0.03928266793704242,0.010266279167847614
29,2.9000000000000004,0.09666666666666668,0.03333333333333334,-3.469446951953614e-16,-1.8885906317917731,0.040309295853827184,0.002263688730570479
30,3.0,0.1,0.03333333333333327,0.0,-1.8845370653190847,0.04053566472688423,-0.0051650115360359905
31,3.1,0.10333333333333333,0.03333333333333334,6.938893903907228e-16,-1.8805351489617566,0.040019163573280635,-0.011334340622381589
