Timestep,Time [s],Drive_Pos [x(t)],Drive_Vel [vx(t)],Drive_Acc [ax(t)],Mass_Pos [p(t)],Mass_Vel [v(t)],Mass_Acc [a(t)]
0,0.0,0.0,2.1234497728334363,-4.113046035954622,-1.981,0.0,0.0
1,0.1,0.1922534625077251,1.7216194773210658,-3.9235598742927844,-1.981,0.0,1.9225346250772528
2,0.2,0.34432389546421316,1.3387377979748794,-3.5901533116412288,-1.9617746537492275,0.1922534625077253,3.058732029626679
3,0.30000000000000004,0.460001022102701,1.00358881499282,-3.039769192012512,-1.9119619872021882,0.4981266654703932,3.4115034275785003
4,0.4,0.5450416584627772,0.730783959572377,-2.391412295000211,-1.828034286379364,0.8392770082282432,3.081482440193165
5,0.5,0.6061578140171764,0.5253063559927779,-1.733924854604199,-1.713291761154608,1.1474252522475599,2.237070499470285
6,0.6000000000000001,0.6501029296613328,0.38399898865153714,-1.137537555935536,-1.576178530935149,1.3711323021945883,1.081682303770231
7,0.7000000000000001,0.6829576117474838,0.29779884480567065,-0.6488961184234282,-1.4282484776779878,1.4793005325716113,-0.17723963831689638
8,0.8,0.7096626986224669,0.2542197649668515,-0.2905776228138701,-1.2820908208039956,1.4615765687399216,-1.3540413744752993
9,0.9,0.7338015647408541,0.23968332024289662,-0.06398967999985405,-1.1494735776747564,1.3261724312923917,-2.3034210071362846
10,1.0,0.7575993626710462,0.2414218289668807,0.04561700774287081,-1.03989054461688,1.0958303305787633,-2.930931257699502
11,1.1,0.7820859305342303,0.2488067217914708,0.06324374317142056,-0.9596168241359987,0.802737204808813,-3.195709658106523
12,1.2000000000000002,0.8073607070293404,0.2540705776011648,0.018369342580373815,-0.9113002002361826,0.48316623899816075,-3.106557166342931
13,1.3,0.8329000460544632,0.25248059030754555,-0.05995418020948717,-0.8940491479997958,0.1725105223638676,-2.7130185818212764
14,1.4000000000000001,0.8578568250908495,0.24207974155926737,-0.14670408261515389,-0.9039282815816219,-0.09879133581826005,-2.093357597457026
15,1.5,0.8813159943663167,0.22313977378451477,-0.223041529599316,-0.9347409911380181,-0.30812709556396267,-1.3413030493926907
16,1.6,0.9024847798477524,0.19747143563940417,-0.2771034718540982,-0.9789667311883413,-0.44225740050323176,-0.553227489135832
