step,x(t+1),p(t+1)
1,0.6775437537549147,-1.343250692383539
2,0.9999754346345515,-1.5392676724509096
3,0.9999779380296114,-1.7156826167097332
4,0.9819155850445068,-1.876893352847477
5,0.9999986804458221,-2.0195429251105494
6,0.9999987996551107,-2.1479275391419526
7,0.9999862826798112,-2.2634753827899896
8,0.9999991572829764,-2.367466704806772
9,0.999999514910842,-2.4610588383215743
10,0.999999514910842,-2.545291730334746
11,0.9999997533294193,-2.6211012929320994
12,0.9999997533294193,-2.6893299394842183
13,0.9999998725387078,-2.750735713338225
14,0.9999998725387078,-2.806000893721031
15,0.9999998725387078,-2.855739556065556
16,0.9999998725387078,-2.900504328046928
17,0.9999999917479964,-2.940792663044664
18,0.9999999917479964,-2.977052148456826
19,0.9999999917479964,-3.0096856531561706
20,0.9999999917479964,-3.0390558315142817
21,0.9999999917479964,-3.0654889839936814
22,0.9999999917479964,-3.0892788373109417
23,0.9999999917479964,-3.110689681167775
24,0.9999999917479964,-3.1299594245531246
25,0.9999999917479964,-3.1473021694712386
26,0.9999999917479964,-3.162910704240743
27,0.9999999917479964,-3.176958353361696
28,0.9999999917479964,-3.1896012295276535
29,0.9999999917479964,-3.200979842205716
30,0.9999999917479964,-3.2112205453585707
31,0.9999999917479964,-3.2204372264535417
32,0.9999999917479964,-3.2287321911816136
33,0.9999999917479964,-3.2361976916084796
34,0.9999999917479964,-3.2429166500355593
35,0.9999999917479964,-3.2489637045770308
36,0.9999999917479964,-3.254406093878856
37,0.9999999917479964,-3.2593042201217983
38,0.9999999917479964,-3.2637125337404465
39,0.9999999917479964,-3.2676800159972297
40,0.9999999917479964,-3.271250741985434
41,0.9999999917479964,-3.2744643632032173
42,0.9999999917479964,-3.2773566705566237
43,0.9999999917479964,-3.2799597552175896
44,0.9999999917479964,-3.2823024911979575
45,0.9999999917479964,-3.2844109374944885
46,0.9999999917479964,-3.2863085793758673
47,0.9999999917479964,-3.288016408811707
48,0.9999999917479964,-3.2895534874755636
49,0.9999999917479964,-3.290936866315935
50,0.9999999917479964,-3.292181907272269
