Timestep,Time [s],Drive_Pos [x(t)],Drive_Vel [vx(t)],Drive_Acc [ax(t)],Mass_Pos [p(t)],Mass_Vel [v(t)],Mass_Acc [a(t)]
0,0.0,0.0,1.7352337064913936,-2.683590209257483,-1.981,0.0,0.0
1,0.1,0.1606234278603369,1.4772348507153443,-2.4763869062635036,-1.981,0.0,1.6062342786033685
2,0.2,0.29544697014306887,1.239956325238693,-2.1822228041679823,-1.9649376572139665,0.16062342786033687,2.6332228457100175
3,0.30000000000000004,0.4086146929080755,1.0407902898817478,-1.8317066970075284,-1.9225430859708326,0.4239457124313386,3.0776320763577427
4,0.4,0.5036050281194184,0.8736149858371872,-1.5374916884994483,-1.8493721939641212,0.731708920067113,2.9880633007682835
5,0.5,0.583337690075513,0.7332919521818582,-1.2905345031858833,-1.746320668949727,1.0305152501439414,2.456068340108457
6,0.6000000000000001,0.6502634185557901,0.6155080852000105,-1.0832444275121282,-1.6187084605342483,1.2761220841547871,1.6035967067455985
7,0.7000000000000001,0.7064393071155151,0.5166430666794325,-0.9092499943545274,-1.4750602850513137,1.436481754829347,0.5685141668389431
8,0.8,0.7535920318916766,0.4336580863291051,-0.7632031434793102,-1.3257269678999897,1.4933331715132412,-0.51014317359658
9,0.9,0.7931709243813361,0.36400243798357046,-0.6406148384198784,-1.1814950824846313,1.4423188541535832,-1.5056587854939103
10,1.0,0.8263925194883907,0.3055351186451294,-0.5377170871346787,-1.052319784924212,1.291752975604192,-2.314629931478164
11,1.1,0.854277948110362,0.2564590205566347,-0.4513471253800305,-0.9462907866785745,1.0602899824563756,-2.864602634567011
12,1.2000000000000002,0.8776843235997176,0.21526569356912328,-0.37885020294658733,-0.868907814778607,0.7738297189996746,-3.1179083352164305
13,1.3,0.8973310868241866,0.18068897996731725,-0.317997984703719,-0.8227039262308039,0.4620388854780315,-3.0716887549281253
14,1.4000000000000001,0.913822119593181,0.1516660966283795,-0.26692005834792476,-0.8072169252322821,0.15487000998521894,-2.754479561730588
15,1.5,0.9276643061498625,0.1273049682977323,-0.22404644361140313,-0.819274719851066,-0.1205779461878399,-2.2200317938028746
16,1.6,0.9392831132527275,0.10685680790609886,-0.1880593358386251,-0.8535328324078788,-0.34258112556812736,-1.5392594178258108
17,1.7000000000000002,0.9490356677310823,0.08969310113000728,-0.15785260067508466,-0.9031835391429497,-0.4965070673507085,-0.7913008639089707
18,1.8,0.957221733478729,0.07528628777108193,-0.13249777485798142,-0.9607472545171103,-0.5756371537416056,-0.054672966300001846
19,1.9000000000000001,0.9640929252852987,0.063193546158411,-0.11121552807642765,-1.0188576995542709,-0.5811044503716059,0.6006106987673014
20,2.0,0.9698604427104112,0.0530431821557964,-0.09335170872549203,-1.0709620376037585,-0.5210433804948758,1.1192681836365708
21,2.1,0.9747015617164579,0.04452320441331259,-0.07835723727338262,-1.1118736938168805,-0.40911656213121866,1.4648691174646018
22,2.2,0.9787650835930737,0.037371734701119874,-0.06577122922487022,-1.1381366588553563,-0.2626296503847585,1.6216470748690597
23,2.3000000000000003,0.9821759086566819,0.031368958568338545,-0.055206828932183316,-1.1481831531451416,-0.10046494289785252,1.5940555609160878
24,2.4000000000000004,0.9850388753067414,0.02633036891468321,-0.04633931882779552,-1.142289091825766,0.058940613193756264,1.4043390581313187
25,2.5,0.9874419824396186,0.022101094802779442,-0.03889613859296426,-1.1223516399250772,0.19937451900688813,1.0885617046400675
26,2.6,0.9894590942672973,0.01855114119609036,-0.03264850748162795,-1.0915285709779878,0.3082306894708949,0.6916459629819549
27,2.7,0.9911522106788366,0.015571393306453851,-0.027404392295402036,-1.0537890424010787,0.37739528576909037,0.26201724503006396
28,2.8000000000000003,0.992573372928588,0.013070262737009952,-0.023002604866489973,-1.013429341373869,0.40359701027209677,-0.15356986724752453
29,2.9000000000000004,0.9937662632262386,0.010970872333155857,-0.019307847623120655,-0.9746053390191347,0.3882400235473443,-0.5145240010936121
30,3.0,0.9947675473952192,0.009208693212385821,-0.016206554953288044,-0.9409265766753364,0.33678762343798313,-0.7898463827324278
31,3.1,0.9956080018687158,0.007729561342498248,-0.013603402542880505,-0.9151462781588624,0.2578029851647403,-0.9602601848889574
32,3.2,0.9963134596637189,0.00648801270380972,-0.011418377395880364,-0.8989685814912779,0.16177696667584457,-1.0189565551258788
33,3.3000000000000003,0.9969056044094777,0.005445885863322175,-0.009584318477950937,-0.8929804503749522,0.05988131116325668,-0.9710207633189558
34,3.4000000000000004,0.9974026368363833,0.004571149008219533,-0.008044852390315382,-0.8967025268918161,-0.03722076516863891,-0.8317275975493672
35,3.5,0.9978198342111216,0.0038369153852590987,-0.006752660622755258,-0.9087418793841736,-0.12039352492357563,-0.6239893391234741
36,3.6,0.9981700199134351,0.003220616883668481,-0.005668025126351339,-0.9270211252677659,-0.18279245883592304,-0.3752960893520658
37,3.7,0.9984639575878553,0.002703310359988831,-0.0047576075013572305,-0.9490533320448789,-0.22032206777112961,-0.11450503590152827
38,3.8000000000000003,0.9987106819854329,0.002269095383397035,-0.003993424276077517,-0.9722305891810071,-0.23177257136128243,0.13118528302568322
39,3.9000000000000004,0.9989177766645347,0.0019046255047733274,-0.003351986779950855,-0.9940959934868785,-0.2186540430587141,0.33879174457284655
40,4.0,0.9990916070863876,0.001598698027406864,-0.0028135791732109006,-1.0125734803470214,-0.18477486860142944,0.4914257429355171
41,4.1000000000000005,0.9992375162700161,0.0013419096701311473,-0.0023616524418568208,-1.0261367097778091,-0.13563229430787774,0.5793745547861278
42,4.2,0.9993599890204138,0.0011263675390355,-0.001982315731230422,-1.0339061936607357,-0.07769483882926495,0.60035666564076
