step,x(t+1),p(t+1)
1,0.7425067363502487,-1.3344847354177216
2,12.572522059642615,0.030191868608685057
3,41.50405468070175,5.162349457432625
4,41.554057732046935,9.788038219008268
5,41.6088062667514,13.95854579783634
6,41.61025966639761,17.712198222115312
7,41.60889019009055,21.090299966858577
8,41.60622753142112,24.130233145493058
9,41.58763851179912,26.86366362139086
10,41.277515070754745,29.281905062298485
11,39.24279371303356,31.183761423400426
12,36.1162335276523,32.47354149486413
13,32.20642826206446,33.10676610809554
14,29.670905822050106,33.33453074783041
15,28.54618811892894,33.38775287069559
16,27.673640976470995,33.317912185649426
17,26.87449814554111,33.14722253970819
18,26.366882106639142,32.92510465937011
19,26.18892266596899,32.701185169379464
20,26.171867154635123,32.49735620074311
21,26.211890958015786,32.31931083996321
22,26.271114132575903,32.167061955680126
23,26.337236187083974,32.038959788197715
24,26.40611817504095,31.932963371152418
25,26.476070185572105,31.847006000899917
26,26.546060343075602,31.77908789072586
27,26.615171212866624,31.72728646575814
28,26.682433861847706,31.689740920598446
29,26.746783989490517,31.66463420322576
30,26.807098167459603,31.650177572627868
31,26.862231986584714,31.644605451345257
32,26.91108872141104,31.646183146655297
33,26.952701346189723,31.653217145484575
34,26.986320272914252,31.66408599914576
35,27.01148964526515,31.67726348689032
36,27.02813316929773,31.691370090469988
37,27.036582723671362,31.705203878873704
38,27.037603155181497,31.71779198288906
39,27.032338872998377,31.728411184926962
40,27.022239462070974,31.736605935118114
41,27.008924261375185,31.74218577758495
42,26.9940335907217,31.745197039432824
43,26.979076162866612,31.745889372285028
44,26.965297476456875,31.744653982808977
45,26.953601614736982,31.74196443697049
46,26.94451882062248,31.73831746428806
47,26.938243643672312,31.734189204455582
48,26.934684531152854,31.729991453965077
49,26.933547751377077,31.72606137119439
50,26.93440605825476,31.722640886582568
