step,x(t+1),p(t+1)
1,0.7571265697479248,0.4805840849876404
2,11.394083023071289,1.3739339113235474
3,42.222068786621094,5.26074743270874
4,41.92047882080078,8.728720664978027
5,42.07611846923828,11.865460395812988
6,42.32426452636719,14.713340759277344
7,42.41632080078125,17.2856388092041
8,42.41825866699219,19.600900650024414
9,42.410362243652344,21.683847427368164
10,42.38093948364258,23.555557250976562
11,42.22526550292969,25.22452735900879
12,41.650428771972656,26.669116973876953
13,40.096920013427734,27.81389808654785
14,38.278568267822266,28.662364959716797
15,36.68022537231445,29.266151428222656
16,35.65987014770508,29.707523345947266
17,35.1309814453125,30.051868438720703
18,34.55614471435547,30.304296493530273
19,33.88545227050781,30.464412689208984
20,33.168025970458984,30.536773681640625
21,32.40502166748047,30.525598526000977
22,31.544038772583008,30.429443359375
23,30.40422248840332,30.22892189025879
24,28.364686965942383,29.844497680664062
25,24.479555130004883,29.110002517700195
26,20.694122314453125,28.07041358947754
27,18.719446182250977,26.93731689453125
28,17.2131290435791,25.766897201538086
29,15.86648178100586,24.578855514526367
30,14.66531753540039,23.389501571655273
31,13.692855834960938,22.22183609008789
32,13.099584579467773,21.111610412597656
33,13.406492233276367,20.143098831176758
34,16.11520767211914,19.542308807373047
35,20.842342376708984,19.47431182861328
36,30.30683708190918,20.35956382751465
37,37.76890563964844,21.902498245239258
38,41.31804656982422,23.646053314208984
39,41.880088806152344,25.27145767211914
40,41.42152404785156,26.688465118408203
41,39.84307861328125,27.805927276611328
42,38.189796447753906,28.64631462097168
43,36.627323150634766,29.246416091918945
44,35.651611328125,29.688936233520508
45,35.13668441772461,30.03571128845215
46,34.572444915771484,30.291383743286133
47,33.90977478027344,30.455223083496094
48,33.19856262207031,30.531557083129883
49,32.442848205566406,30.524686813354492
50,31.59413719177246,30.433631896972656
