epoch,train_loss,val_loss
1,0.015601565981733389,0.01157578264334888
2,0.010500360230176612,0.009813856609299081
3,0.009828323830432932,0.009786139578448183
4,0.00952078862469001,0.009893582437249008
5,0.00908006729156678,0.008667940776743837
6,0.008541586787664686,0.008535157646675987
7,0.008000455143829358,0.008252685447031062
8,0.007588538512876579,0.007843335466998174
9,0.0074250775297846775,0.007704037041518806
10,0.00719266014013054,0.0072263012737672026
11,0.007030092884690083,0.006785745792137074
12,0.006904841681364281,0.007105156278991995
13,0.006740900404622842,0.006938725940180178
14,0.00660226491890077,0.006612193516068181
15,0.0065551690738005885,0.006381583432141004
16,0.006400272564898277,0.00656510038126886
17,0.006361908056403928,0.00642447887865965
18,0.006328984394284158,0.0063715457522436035
19,0.006203383722438894,0.006509021664110138
20,0.006178949526511133,0.005946952142796323
21,0.006065715299758675,0.006315581564670916
22,0.006042267949288261,0.005995346120361126
23,0.0059609397316094615,0.00572695888350551
24,0.005896913872164642,0.0060366120179165825
25,0.0058094638659907825,0.005860645880091412
26,0.005692592582280009,0.005817226787834087
27,0.005689945077555704,0.005400650650929896
28,0.005657478122458119,0.0058756975108147
29,0.0055708623028777795,0.005361724747524445
30,0.0054569352458327496,0.005316330327141835
31,0.005434908597922787,0.005852214047895647
32,0.005379911607195591,0.005498625622220727
33,0.00527933315309728,0.005214787444956704
34,0.005191531209515985,0.005417967090747491
35,0.005228617359514766,0.005702200963369702
36,0.005146868531752763,0.005049495165654491
37,0.005087558585379658,0.005089476634042732
38,0.005006053209031836,0.004785895550921149
39,0.004968716361608099,0.005094593181082409
40,0.004939654809342504,0.0048627947750899
41,0.004827638463004782,0.0047899264490780915
42,0.004902706602909442,0.004772652884734892
43,0.004803624083769733,0.005579040578204738
44,0.0047688196417233295,0.0051187543075316205
45,0.00472339484535543,0.004472808219677161
46,0.004720129909571902,0.004308940085887745
47,0.004649834587029984,0.0049050885365542135
48,0.0046524713599476325,0.005386254283248065
49,0.004630062393844127,0.004516154083810726
50,0.0045569636482456375,0.004313106765359969
51,0.0045224493446535076,0.004687520980029354
52,0.004465452983076203,0.005160776265837847
53,0.004489193315665912,0.004410979849832856
54,0.004463372239040146,0.00446046781200228
55,0.004404724810738117,0.0044113474717805004
56,0.004401843262723936,0.005091198825228641
57,0.0043525979588418424,0.005480287923700799
58,0.004349921674242821,0.004493274525534003
59,0.004290111074866406,0.004613662425610788
60,0.004302232233839559,0.004217766655080493
