Timestep,Time [s],Drive_Pos [x(t)],Drive_Vel [vx(t)],Drive_Acc [ax(t)],Mass_Pos [p(t)],Mass_Vel [v(t)],Mass_Acc [a(t)]
0,0.0,0.0,1.062933134072213,-1.0495320555322003,-1.981,0.0,0.0
1,0.1,0.10117511178487981,0.9605691016253831,-0.9977485934043984,-1.981,0.0,1.0117511178487977
2,0.2,0.19211382032507662,0.8633834153913333,-0.9226929989973931,-1.9708824888215122,0.10117511178487977,1.718787979681009
3,0.30000000000000004,0.2738517948631465,0.7760305018259045,-0.8293394316807062,-1.9435770978462141,0.27305390975298066,2.0912350173406242
4,0.4,0.3473199206902575,0.6975155290551921,-0.7454309219728061,-1.8953593566975098,0.4821774114870431,2.134615362390628
5,0.5,0.4133549006741849,0.6269443174313433,-0.6700118651143006,-1.8257954619248993,0.6956389477261059,1.885864678264733
6,0.6000000000000001,0.4727087841765262,0.563513156032332,-0.6022233397641658,-1.7373729203696413,0.8842254155525793,1.4065916299090944
7,0.7000000000000001,0.5260575318806513,0.5064996494785101,-0.5412933260440622,-1.6348844625152925,1.0248845785434888,0.7745353654159466
8,0.8,0.5740087140722282,0.45525449082351954,-0.48652791327314093,-1.524650651006784,1.1023381150850835,0.07425553570503851
9,0.9,0.6171084300453552,0.40919406682388193,-0.4373033972612683,-1.4136742841412253,1.1097636686555874,-0.6119365267897834
10,1.0,0.6558475274370046,0.3677938113712659,-0.3930591771594577,-1.3088172825435644,1.0485700159766091,-1.2119219161709207
11,1.1,0.6906671923196084,0.3305822313919904,-0.35329137097227237,-1.2160795001076128,0.9273778243595171,-1.6699109000873058
12,1.2000000000000002,0.7219639737154027,0.2971355371768114,-0.3175470770215155,-1.1400408266725341,0.7603867343507865,-1.9503387304714188
13,1.3,0.7500942997549707,0.2670728159876873,-0.28541921600690745,-1.0835055405421696,0.5653528613036446,-2.0393544583322427
14,1.4000000000000001,0.7753785369129401,0.24005169397542991,-0.2565418949218551,-1.0473637989951277,0.3614174154704203,-1.9439940563897427
15,1.5,0.7981046385500566,0.21576443700331627,-0.23058624002562644,-1.030661998011983,0.167018009831446,-1.6893516442110474
16,1.6,0.8185314243136034,0.19393444597030463,-0.2072566514149804,-1.030853713470949,-0.0019171545896587705,-1.3142314675648166
17,1.7000000000000002,0.8368915277441176,0.1743131067203202,-0.1862874365399142,-1.044187743605563,-0.13334030134614044,-0.8658669851570551
18,1.8,0.8533940456576674,0.15667695866232179,-0.16743978432386952,-1.0661804435917477,-0.21992699986184594,-0.3943281076440037
19,1.9000000000000001,0.8682269194765819,0.14082514985554628,-0.15049904542766557,-1.0921164246543724,-0.2593598106262463,0.052793251935790764
20,2.0,0.8815590756287767,0.12657714957678867,-0.1352722876830026,-1.117524473197639,-0.2540804854326672,0.4349159736968229
21,2.1,0.8935423493919397,0.11377069231894577,-0.12158609885527527,-1.1385833620039376,-0.21058888806298492,0.7218460020217545
22,2.2,0.9043132140925658,0.10225992980573362,-0.10928461171210713,-1.1524237907900186,-0.13840428786080947,0.8957743366866513
23,2.3000000000000003,0.9139943353530864,0.09191376997652434,-0.0982277289057698,-1.1573064762092329,-0.04882685419214433,0.951834969815339
24,2.4000000000000004,0.9226959680878707,0.08261438402457966,-0.08828952745335017,-1.152670811930294,0.04635664278938957,0.8973111573922559
25,2.5,0.9305172121580023,0.0742558644858543,-0.07935682464382254,-1.1390620360774324,0.13608775852861515,0.749704723825733
26,2.6,0.9375471409850415,0.06674301909581515,-0.07132788903959353,-1.1179562129863136,0.21105823091118847,0.5339753088023631
27,2.7,0.9438658159771653,0.0599902866779356,-0.06411128189263426,-1.0915106368071712,0.26445576179142477,0.27930876605194044
28,2.8000000000000003,0.9495451983206287,0.053920762717288295,-0.05762481578047707,-1.0622719729675094,0.2923866383966188,0.01578507448476074
29,2.9000000000000004,0.954649968520623,0.04846532352184019,-0.05179461860230217,-1.032875458383,0.2939651458450949,-0.22871087680886504
30,3.0,0.9592382630249967,0.04356183899682786,-0.04655429227535535,-1.0057660525665792,0.2710940581642084,-0.4310509022484492
31,3.1,0.9633623363199886,0.03915446506676912,-0.04184415655033302,-0.9829671557726429,0.22798896793936346,-0.5746940470130486
32,3.2,0.9670691560383505,0.03519300768676126,-0.037610569333809685,-0.9659151994488371,0.1705195632380586,-0.6506760083661849
33,3.3000000000000003,0.9704009378573408,0.03163235120000718,-0.03380531577716617,-0.955370003208693,0.10545196240144013,-0.6577425517411015
34,3.4000000000000004,0.973395626278352,0.028431944531328024,-0.030385059174486972,-0.95140223248596,0.03967770722732997,-0.601699119584211
35,3.5,0.9760873267636064,0.025555339365109786,-0.027310847415920603,-0.9534514529590691,-0.020492204731091132,-0.49411999804215334
36,3.6,0.9785066941513739,0.022969775048143903,-0.024547669375676873,-0.9604418734125997,-0.06990420453530646,-0.3506101198249585
37,3.7,0.9806812817732352,0.02064580548997441,-0.022064056182533043,-0.97093839506438,-0.10496521651780231,-0.18883801510604492
38,3.8000000000000003,0.9826358552493688,0.018556963811637295,-0.019831722831839538,-0.9833232968672206,-0.12384901802840681,-0.02655946080570004
39,3.9000000000000004,0.9843926745355627,0.016679460923606504,-0.017825246057437405,-0.9959737932781183,-0.12650496410897683,0.12016964224578608
40,4.0,0.9859717474340901,0.014991914600149814,-0.016021774794980348,-1.0074225932665581,-0.11448799988439821,0.23843140689088038
41,4.1000000000000005,0.9873910574555926,0.013475105964610434,-0.01440076993911299,-1.0164870791860892,-0.09064485919531018,0.3194262256121263
42,4.2,0.9886667686270122,0.012111760612327216,-0.01294377043073447,-1.022357302849499,-0.05870223663409755,0.35894295139920906
43,4.3,0.9898134095780581,0.01088635187846354,-0.0116341830104838,-1.0246380969989166,-0.022807941494176642,0.3573230072639255
44,4.4,0.9908440390027049,0.009784924010230456,-0.010457093243873561,-1.023345661075695,0.01292435923221591,0.31897264155178107
